Opponent,Stage,Map,Whose Pick?,Rounds Won,Rounds Lost,Win/Loss?,skuba Agent,s0m Agent,mada Agent,Ethan Agent,Brawk Agent,Verno Agent,FNS Agent,skuba Rating,s0m Rating,mada Rating,Ethan Rating,Brawk Rating,Verno Rating,FNS Rating
RRQ,EWC Group Winners',Pearl,Opponent,13,8,1,Astra,Vyse,Jett,KAY/O,Sova,,,1.33,1.39,1.46,1.25,0.97,,
GEN,EWC QF,Sunset,Opponent,6,13,0,Cypher,Omen,Neon,Breach,Fade,,,1.04,1.33,0.25,0.65,0.65,,
GEN,EWC QF,Icebox,NRG,10,13,0,Viper,Killjoy,Jett,Harbor,Sova,,,1.09,0.38,1.12,0.69,1.23,,
100T,2 Group Stage W1,Bind,Opponent,10,13,0,Viper,Brimstone,Raze,KAY/O,Fade,,,1.11,1.02,0.62,1.14,0.82,,
100T,2 Group Stage W1,Sunset,NRG,4,13,0,Viper,Deadlock,Neon,Omen,Sova,,,0.85,0.25,0.54,0.56,0.9,,
LOUD,2 Group Stage W2,Haven,Opponent,13,4,1,Killjoy,Viper,Neon,Omen,Sova,,,1.1,1.26,1.41,1.04,1.58,,
LOUD,2 Group Stage W2,Corrode,NRG,13,9,1,Viper,Omen,Waylay,KAY/O,Sova,,,1.26,1.36,1.04,0.94,1.28,,
LEV,2 Group Stage W3,Lotus,NRG,13,7,1,Viper,Omen,Raze,Fade,Vyse,,,0.81,1.22,0.9,1.18,1.55,,
LEV,2 Group Stage W3,Haven,Opponent,12,14,0,Killjoy,Viper,Neon,Omen,Sova,,,1.05,0.96,1.22,0.66,1.04,,
LEV,2 Group Stage W3,Icebox,Decider,13,11,1,Viper,Killjoy,Jett,Harbor,Sova,,,1.03,1.12,1.51,0.84,0.71,,
MIBR,2 Group Stage W4,Lotus,NRG,15,13,1,Viper,Omen,Raze,Fade,Vyse,,,1.38,1.05,0.85,0.85,1.07,,
MIBR,2 Group Stage W4,Bind,Opponent,13,10,1,Viper,Brimstone,Raze,KAY/O,Fade,,,0.94,1.44,1.38,0.54,0.57,,
KRU,2 Group Stage W5,Sunset,Opponent,6,13,0,Omen,Cypher,Raze,Breach,Sova,,,1.05,0.55,0.97,0.69,0.8,,
KRU,2 Group Stage W5,Lotus,NRG,13,7,1,Viper,Omen,Raze,Fade,Vyse,,,1.57,0.8,0.97,0.88,1.85,,
KRU,2 Group Stage W5,Haven,Decider,13,5,1,Killjoy,Viper,Neon,Omen,Sova,,,1.31,1.25,1.19,1.66,1.11,,
G2,2 Playoffs USF,Corrode,NRG,13,10,1,Viper,Omen,Waylay,KAY/O,Sova,,,1.25,1.46,0.91,1.03,0.72,,
G2,2 Playoffs USF,Sunset,Opponent,11,13,0,Cypher,Omen,Neon,Breach,Sova,,,0.58,1.28,1.3,1.14,0.76,,
G2,2 Playoffs USF,Bind,Decider,7,13,0,Viper,Brimstone,Raze,KAY/O,Fade,,,0.73,1.38,0.79,0.6,0.52,,
LEV,2 Playoffs LR2,Ascent,Opponent,13,2,1,Vyse,Omen,Jett,KAY/O,Sova,,,1.13,1.28,1.41,1.38,1.68,,
LEV,2 Playoffs LR2,Icebox,NRG,13,2,1,Viper,Killjoy,Jett,Harbor,Sova,,,1.18,1.18,1.49,1.75,1.69,,
